Species name 						-species

Amphimedon queenslandica 				aq

Anolis carolinensis 					ac
 
Aplysia californica					acc

Arabidopsis thaliana 					at

Arbacia punctulata					ap

Ashbya gossypii						ag

Aspergillus nidulans					an

Bombina maxima						bm 

Bombina orientalis					bo

Brachypodium distachyon				bd 

Branchiostoma floridae  				bf

Caenorhabditis elegans 				ce

Canis lupus						cl
   
Cavia porcellus  					cp
   
Chlamydomonas reinhardtii  				cr
   
Ciona intestinalis  					ci
   
Columba livia domestica 				cld  
   		
Coprinus cinereus  					cc 
   
Cryptococcus neoformans  				cn
   
Daphnia magna  						dm 
   
Dictyostelium discoideum  				dd 
   
Drosophila melanogaster				do 
   
Emiliania huxleyi  					eh 
   
Escherichia coli 					ec  
   
Euprymna scolopes  					es 
   
Felis catus						fc   
   
Galleria mellonella 					gm
   
Gallus gallus  						gg
   
Gasterosteus aculeatus  				ga
   
Gryllus bimaculatus 					gb 
   
Herpes simplex virus  					hsv
  
Heterocephalus glaber  				hg 
   
homo sapien						hs  
   
Hydra  							hy 
   
Lemna gibba 						lg  
   
Loligo pealei  						lp 
   
Lotus japonicus  					lj 
   
Medicago truncatula  					mt 
   
Mesocricetus auratus  					ma 
   
Mimulus guttatus  					mij 
   
Mus musculus  						mus 
   
Mycobacterium tuberculosis 				mb 
   
Myotis lucifugus  					ml 
   
Nematostella vectensis 				nv  
   
Neurospora crassa  					nc 
   
Nicotiana benthamiana  				nb 
   
Oikopleura dioica 					od  
  
Oryza sativa						os 
   
Oryzias latipes 					ol  
   
Petromyzon marinus  					pem 
   
Phage lambda 						pl  
   
Phi X 174						px   
   
Physcomitrella patens 					php  
   
Platynereis dumerilii 					pd  
   
Poecilia reticulata 					pr 

Populus trichocarpa 					pt
   
Pristionchus pacificus  				pp 
   
Rattus norvegicus  					rn 
   
Rhesus macaque  					rm 
   
Schizophyllum commune  				sc 
   
Schizosaccharomyces pombe 				sp  
   
Schmidtea mediterranea  				sm 
   
Selaginella moellendorffii  				sem 
   
Setaria viridis  					sev 
   
Sigmodon hispidus 					sh  
   
SV40 							sv  
   
Symsagittifera roscoffensis  				sr 

T4 phage 						t4  
   
Takifugu rubripes  					tr 
   
Tetrahymena thermophila  				tt 
   
Thalassiosira pseudonana 				tp  
   
Tobacco BY-2 cells 					tb  
(Nicotiana tabacum)  
Tobacco mosaic virus 					tmv  
   
Tribolium castaneum 					tc  

Aliivibrio fischeri 					af   
   
Bacillus subtilis  					bs 
   
Caulobacter crescentus  				cac 
   
Mycoplasma genitalium 					mg  
   
Pseudomonas fluorescens 				pf  
   
Synechocystis  						sy 
   
Ustilago maydis  					um 
   
Xenopus laevis  					xl 
   
Xenopus tropicalis 					xt  
   
saccharomyces cerevisiae				sce 
   
Zea mays 						zm 
   
Zebra finch  						zf
